TransactionId,Hour,VoidsAmount,IsVoidFollowedByDrawerOpen,IsVoided,IsReturn,IsReceiptReprinted,NonScannedItems,ManualOverrideAmount,ReturnsAmount,PriceLookupTrxTotalAmount,VoidedItemsAmount,DiscountAmount,IsTrainingMode,TotalAmount,ItemCount,StoreId,BusinessDate,MaxWeightToPriceRatioItemId,IsFraud
tr43,12,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,7.94,4,7,09/05/2023,40420,FALSE
tr44,11,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,9.55,6,41,09/04/2023,40870,FALSE
tr45,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,30.02,9,43,09/04/2023,74200,FALSE
tr46,12,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,7.13,6,26,09/04/2023,46630,FALSE
tr47,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,13.72,5,45,09/06/2023,2.07E+11,FALSE
tr48,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,25.32,8,4,09/06/2023,2.07E+11,FALSE
tr49,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,26.94,16,20,09/07/2023,40870,FALSE
tr50,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,18.41,6,16,09/04/2023,2.09E+11,FALSE
tr51,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,32.16,12,40,09/06/2023,45000,FALSE
tr52,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,6.28,5,5,09/07/2023,40870,FALSE
tr53,13,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,10.99,6,41,09/05/2023,40380,FALSE
tr54,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,25.35,8,22,09/01/2023,2.04E+11,FALSE
tr55,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.01,7,18,09/06/2023,2.07E+11,FALSE
tr56,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,15.68,7,5,09/01/2023,2.07E+11,FALSE
tr57,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,16.01,9,11,09/06/2023,2.07E+11,FALSE
tr58,13,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,16.31,8,16,09/06/2023,2.02E+11,FALSE
tr59,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,23.01,10,9,09/01/2023,2.07E+11,FALSE
tr60,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,19.75,8,23,09/01/2023,2.04E+11,FALSE
tr61,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,31.86,14,29,09/04/2023,2.03E+11,FALSE
tr62,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,9.04,4,20,09/04/2023,2.03E+11,FALSE
tr63,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,24.53,11,32,09/07/2023,42350,FALSE
tr64,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,22.47,11,34,09/04/2023,2.07E+11,FALSE
tr65,16,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,26.88,11,15,09/05/2023,2.07E+11,FALSE
tr66,13,0,FALSE,FALSE,FALSE,FALSE,6,0,0,0,0,0,FALSE,22.59,11,14,09/04/2023,40870,FALSE
tr67,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,42.64,12,3,09/04/2023,2.03E+11,FALSE
tr68,13,0,FALSE,FALSE,TRUE,FALSE,1,0,7.9,0,0,0,FALSE,0.7,3,45,09/04/2023,2.61E+11,FALSE
tr69,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,12.37,7,5,09/06/2023,2.09E+11,FALSE
tr70,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,28.51,8,15,09/01/2023,2.04E+11,FALSE
tr71,13,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,9.67,6,36,09/07/2023,2.05E+11,FALSE
tr72,17,0,FALSE,FALSE,TRUE,FALSE,1,0,7.49,0,0,0,FALSE,161.35,2,25,09/05/2023,,FALSE
tr73,13,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,41.96,21,23,09/04/2023,40480,FALSE
tr74,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,28.54,15,21,09/07/2023,40630,FALSE
tr75,13,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,28.34,10,24,09/07/2023,2.04E+11,FALSE
tr76,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,26.83,10,21,09/06/2023,2.03E+11,FALSE
tr77,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,41.41,14,36,09/01/2023,2.07E+11,FALSE
tr78,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,9.94,7,21,09/06/2023,40830,FALSE
tr79,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,10.3,5,17,09/05/2023,2.09E+11,FALSE
tr80,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,6.31,4,21,09/01/2023,47190,FALSE
tr81,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,8.74,4,38,09/04/2023,2.04E+11,FALSE
tr82,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,19.91,9,19,09/07/2023,46630,FALSE
tr83,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11,6,19,09/07/2023,44010,FALSE
tr84,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,38.48,22,29,09/06/2023,47810,FALSE
